State,Hotel,Rating
Johor,7 Heaven Boutique Hotel,4.369565
,Elite Hotel,3.344828
,Golden Court Hotel,3.493056
,Hallmark Regency Hotel,3.342262
,Hard Rock Hotel,4.540816
,Holiday Inn Hotel,4.391753
,Impiana Hotel,4.21875
,The Avenue M,4.086538
Kuala Lumpur,Grand Hyatt Hotel,4.713235
,Hilton Garden Inn Hotel,4.041667
,Lyf Chinatown Hotel,4.543478
,Pavilion Ceylon Hill Suites Hotel,4.159574
,Shangri-La Hotel,4.61039
,The Majestic Hotel,4.277778
Melaka,Baba House Hotel,4.688235
,Bayview Hotel,4.4
,Casa Del Rio Hotel,4.75
,Courtyard @ Heeren Boutique Hotel,4.47
,Swiss-Garden Hotel,3.959459
Pulau Pinang,Angsana Teluk Bahang,3.48
,Ixora Hotel,3.666667
,Penaga Hotel,4.116279
,Shangri-La Rasa Sayang Hotel,4.616438
,Summer Tree Hotel,4.185567
Selangor,Aerotel Kuala Lumpur Hotel,4
,Centrestage Hotel,3.625
,Concorde Hotel,4.217391
,Hilton Garden Inn Hotel,4.278351
,Movenpick Hotel & Convention Centre KLIA,4.184211
,One World Hotel,4.26
,Puteri Ampang Hotel,3.601449
,Tune Hotel KLIA-KLIA2,3.938776
Terengganu,DJ Citi Plaza Hotel,4.558333
,Felda Residence Hotel,3.035714
,Grand Continental Hotel,3.186813
,J Suites Hotel,3.049383
,Primula Beach Hotel,2.585366
,The Serai Cottage Boutique Hotel,3.901587
