,State,Hotel,Year,Rating,Traveldate,Reviews,Username,Sentiment,Sentiment_score
0,Johor,7 Heaven Boutique Hotel,2023,3.5,"November 3, 2023","The room is clean, the toilet is big, there are many TV channels, and the aircon was cold.
And also the room is well lit. . Unable to iron my clothes even though the iron and iron board was available in the room. The iron board was so run down due to the protector sheet being already torn with burnt stains. I was unable to control the heat of the iron as I worry that it might stick to my clothes due to the current condition of the protector of the iron board.",Iffah,Negative,-0.064351852
1,Johor,7 Heaven Boutique Hotel,2023,4,"October 24, 2023",Value for money with cleaness and spaces room. You can't compare with other room. . Does not have breakfast,Norfalah,Negative,-0.125
2,Johor,7 Heaven Boutique Hotel,2023,3.5,"October 19, 2023",Location is quite and many shops nearby . Coffee or tea bags could have been provided as there is a jug kettle to boil water in the room,Tuck,Positive,0.5
3,Johor,7 Heaven Boutique Hotel,2023,3.5,"October 16, 2023",Ambient . Nothing,Mnlord,Neutral,0
4,Johor,7 Heaven Boutique Hotel,2023,4.5,"February 23, 2023","#NAME? . Need to improve :
- free flow drink taste not good. Maybe can adjust the recipe of the drink or just plain black coffee will be better",Ckyn,Positive,0.033809524
5,Johor,7 Heaven Boutique Hotel,2023,5,"February 15, 2023","No breakfast . free coffee. Nice place, excellent.",Mohd,Positive,0.666666667
6,Johor,7 Heaven Boutique Hotel,2023,4,"February 12, 2023",I had breakfast outside . lift only 1 place,Juhaida,Neutral,0
7,Johor,7 Heaven Boutique Hotel,2023,4,"February 7, 2023",Clean and good hygiene . A little difficult to get the free flow coffee/ complimentary drinks.,Zaiton,Positive,0.179861111
8,Johor,7 Heaven Boutique Hotel,2023,3.5,"February 2, 2023",Booking room without bfast..but for the future will take with bfast. Still convinence coz many shop near the hotel . No comment,Norhaizad,Positive,0.2
9,Johor,7 Heaven Boutique Hotel,2023,4.5,"January 27, 2023","room is clean.
very comfortable to stay in.
the location is strategic, near to the food court, mart.
staff is friendly. . nothing.",Nurul,Positive,0.340416667
10,Johor,7 Heaven Boutique Hotel,2023,5,"July 11, 2023","Very friendly staff, with the most important parameter being that this is the first time I am seeing such an extremely clean and hygienic property completely non-smoking, endless cups of coffee with smoking zone outside, the quiet coffee table area being soothed by the fountain in a pool of open aquarium with lovely fishes, everything so clean that sitting outside for a coffee and a smoke and gazing at the pool with its bubbling pot of water and the sprinkling fountains and the swaying fishes, with the gentle breeze from the woods opposite on the brow, the experience was meditative. All around the property the positive vibes on all the posters with pearls of wisdom and motivational words, with the beautiful wall paint and hangings, the 7 Heaven Boutique Hotel really made us feel like in a peaceful heaven. Inside the room, everything was just right and adequate for a comfortable and soothing stay. Really surprised, and now really happy, to have discovered such a 'family nest' in a quite place. The location is also excellent for business people and visitors of all kinds. Nearby availability of all kinds of food and beverages, banks, shops, temples, malls, hospital and other utility services make the location ideal for visitors of all types. Next time if in Johor Bahru, again it is 7 Heaven Masai-Pasir Gudang for me and family. . Actually we liked everything about this property, as mentioned above.",Dr,Positive,0.277098552
11,Johor,7 Heaven Boutique Hotel,2023,4,"July 6, 2023","Comfy, convenient, and affordable as always. Check in process is always quick and pleasant. . Floor was sticky upon entering the room. Would suggest the management to consider changing the flooring to something that wouldnt be sticky even after mopping.Would also like to suggest management to consider installing cctv in the elevators and a room card scanner for added security so not just anyone can access the hotel floors.",Bee,Positive,0.533333333
12,Johor,7 Heaven Boutique Hotel,2023,5,"June 28, 2023",im looking for a place near the regency and 7 heaven the best place to stay ÃÂ°ÃÂÃÂ«ÃÂ¶ÃÂ°ÃÂÃÂÃÂ» . nothing i guess ÃÂ°ÃÂÃÂ¤ÃÂ everything is fine for me,Sesilia,Positive,0.505555556
13,Johor,7 Heaven Boutique Hotel,2023,4.5,"June 21, 2023","Bersih,nice decoration n good staff . Nothing",Mohamad,Positive,0.7
14,Johor,7 Heaven Boutique Hotel,2023,4,"June 21, 2023",All . Nothing,Asyraff,Neutral,0
15,Johor,7 Heaven Boutique Hotel,2023,4,"June 20, 2023","Room spacious & clean. . No coffe & tea supply in the room., but the hotel supply readilly made coffee & tea at the lounge 24hrs.",Baharuddin,Positive,0.366666667
16,Johor,7 Heaven Boutique Hotel,2023,5,"June 20, 2023",Location and Cleanliness . No mini fridge,Mohamad,Neutral,0
17,Johor,7 Heaven Boutique Hotel,2023,3.5,"June 9, 2023",Clean room despite Jo windows . Comfortable bed . Air-conditioning needs repair and limited drink making items especially coffee,Muhammad,Positive,0.173809524
18,Johor,7 Heaven Boutique Hotel,2023,5,"June 4, 2023","Definitely will stay here again..very reccomended..excellent services..room was big and very clean.. i stayed for 2 nights,the staff clean the room and change the sheets & towel..they give iron and the iron board also in the room..the toilet was clean..many parking lot . Nothing",Marnie,Positive,0.162
19,Johor,7 Heaven Boutique Hotel,2023,4.5,"May 15, 2023",great location and reasonably quiet. friendly staff and very clean rooms . perhaps an extra pillow for each person would have been better...,Othman,Positive,0.358611111
20,Johor,7 Heaven Boutique Hotel,2023,4,"May 14, 2023",So far so good . Improve wifi,Ghalip,Positive,0.4
21,Johor,7 Heaven Boutique Hotel,2023,5,"May 13, 2023","Great room for the price. Bed was super comfy, toilet super clean. Well maintained and well refurbished.A few minutes drive away from fast food and larger eateries, lotus, cbtl, starbucks. And a must try is Nasi Blauk HQ in Taman Bukit Dahlia which is less than 10mins drive away . Water heater didnt really heat the water well enough. And i think the kettle in my room was a little faulty as it didn't switch off when the water was done boiling.",Bee,Positive,0.137152778
22,Johor,7 Heaven Boutique Hotel,2023,5,"May 8, 2023","its very near to eating place like,
- mcd
- kfc
- starbucks
- hipster food stalls
- burger king
- pizza hut
- lotus . i got a room with a toilet door that is kinda see thruÃÂ°ÃÂÃÂÃÂ",Siti,Positive,0.048333333
23,Johor,7 Heaven Boutique Hotel,2023,4.5,"May 6, 2023",my second time here. love the surroynding area full of eateries. family room spacious. clean. . far from Jb town,Hamzyati,Positive,0.263333333
24,Johor,7 Heaven Boutique Hotel,2023,4.5,"October 6, 2023",good service . Music from surrounding around 2200,Herve,Positive,0.7
25,Johor,7 Heaven Boutique Hotel,2023,3.5,"October 4, 2023",Overall . Could be better if each room having mini freezer.,Rahman,Positive,0.25
26,Johor,7 Heaven Boutique Hotel,2023,3.5,"September 24, 2023","D staff are helpfull and friendly . -no window n view-no fridge",Ahmad,Positive,0.375
27,Johor,7 Heaven Boutique Hotel,2023,4,"September 20, 2023","Near food court . The alley to room quite smelly, but not too strong. Still can tolerate",Muhammad,Positive,0.266666667
28,Johor,7 Heaven Boutique Hotel,2023,4.5,"September 7, 2023","The location is nearby a restaurant (Geylang station if im not mistaken.. the foods all delicious,great staffs), the hotel staffs are friendly, the room is clean.. Would love to repeat again . Nothing",Husna,Positive,0.413888889
29,Johor,7 Heaven Boutique Hotel,2023,5,"August 19, 2023","The area of the place, full of shops,food was awesome..distance from point to point is very near..every restaurant nor coffee shop is very clean.. Hard to see litter on the ground..100% recommended!! Will come again!! Keep it up pasir gudang!! Nvr once regret . Nothing..all is good",Nur,Positive,0.145333333
30,Johor,7 Heaven Boutique Hotel,2023,4,"August 15, 2023",The location of hotel quite close to my destination.There is  many shops and restaurant near the hotel. I m satisfied with overall services. . The room smelly a bit.,Thineshini,Positive,0.275
31,Johor,7 Heaven Boutique Hotel,2023,4,"August 10, 2023",the most clean toilet i ever stay before....keep it up... . staff on duty not friendly,Intan,Positive,0.161458333
32,Johor,7 Heaven Boutique Hotel,2023,4,"March 22, 2023",We took breakfast outside. . Nil,Sharifuddin,Neutral,0
33,Johor,7 Heaven Boutique Hotel,2023,4.5,"March 21, 2023",Comfy . Nothing,Sid,Neutral,0
34,Johor,7 Heaven Boutique Hotel,2023,5,"March 19, 2023",cleanliness and well lit corridors . none,Raja,Neutral,0
35,Johor,7 Heaven Boutique Hotel,2023,5,"March 16, 2023","cleanliness , spacious with affordable price . no breakfast meal but need to order room service",Nurul,Neutral,0
